# time=2.74658
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000013,-0.00000010,0.00047862,0.00000016
0.00007813,0.00023437,0.00000013,-0.00000034,0.00048056,0.00000037
0.00007813,0.00039063,0.00000003,-0.00000049,0.00048960,0.00000049
0.00007813,0.00054688,-0.00000013,-0.00000037,0.00050207,0.00000040
0.00007813,0.00070312,-0.00000029,0.00000006,0.00051840,0.00000030
0.00007813,0.00085938,-0.00000047,0.00000084,0.00053496,0.00000097
0.00007813,0.00101563,-0.00000062,0.00000195,0.00055267,0.00000205
0.00007813,0.00117187,-0.00000079,0.00000337,0.00056842,0.00000346
0.00007813,0.00132813,-0.00000092,0.00000509,0.00058357,0.00000518
0.00007813,0.00148438,-0.00000107,0.00000709,0.00059531,0.00000717
0.00007813,0.00164062,-0.00000118,0.00000935,0.00060524,0.00000943
0.00007813,0.00179688,-0.00000131,0.00001187,0.00061073,0.00001194
0.00007813,0.00195312,-0.00000142,0.00001461,0.00061350,0.00001468
0.00007813,0.00210938,-0.00000154,0.00001759,0.00061101,0.00001766
0.00007813,0.00226562,-0.00000164,0.00002078,0.00060507,0.00002085
0.00007813,0.00242187,-0.00000175,0.00002419,0.00059314,0.00002425
0.00007813,0.00257813,-0.00000184,0.00002780,0.00057711,0.00002786
0.00007813,0.00273438,-0.00000195,0.00003161,0.00055442,0.00003167
0.00007813,0.00289062,-0.00000204,0.00003562,0.00052701,0.00003567
0.00007813,0.00304688,-0.00000215,0.00003982,0.00049230,0.00003987
0.00007813,0.00320313,-0.00000223,0.00004420,0.00045228,0.00004426
0.00007813,0.00335937,-0.00000233,0.00004878,0.00040434,0.00004883
0.00007813,0.00351563,-0.00000241,0.00005353,0.00035050,0.00005359
0.00007813,0.00367188,-0.00000251,0.00005847,0.00028813,0.00005853
0.00007813,0.00382812,-0.00000259,0.00006359,0.00021930,0.00006364
0.00007813,0.00398438,-0.00000269,0.00006888,0.00014136,0.00006893
0.00007813,0.00414063,-0.00000276,0.00007434,0.00005643,0.00007439
0.00007813,0.00429688,-0.00000286,0.00007997,-0.00003817,0.00008002
0.00007813,0.00445313,-0.00000292,0.00008577,-0.00014024,0.00008582
0.00007813,0.00460937,-0.00000302,0.00009173,-0.00025251,0.00009178
0.00007813,0.00476562,-0.00000309,0.00009786,-0.00037269,0.00009791
0.00007813,0.00492188,-0.00000319,0.00010416,-0.00050354,0.00010420
0.00007813,0.00507813,-0.00000326,0.00011062,-0.00064272,0.00011066
0.00007813,0.00523438,-0.00000336,0.00011725,-0.00079301,0.00011730
0.00007813,0.00539063,-0.00000344,0.00012406,-0.00095204,0.00012411
0.00007813,0.00554687,-0.00000355,0.00013107,-0.00112266,0.00013111
0.00007813,0.00570312,-0.00000365,0.00013828,-0.00130247,0.00013833
0.00007813,0.00585938,-0.00000379,0.00014574,-0.00149447,0.00014579
0.00007813,0.00601563,-0.00000392,0.00015347,-0.00169630,0.00015352
0.00007813,0.00617188,-0.00000411,0.00016151,-0.00191120,0.00016156
0.00007813,0.00632813,-0.00000430,0.00016994,-0.00213699,0.00016999
0.00007813,0.00648438,-0.00000457,0.00017883,-0.00237730,0.00017889
0.00007813,0.00664062,-0.00000486,0.00018828,-0.00263034,0.00018834
0.00007813,0.00679687,-0.00000527,0.00019843,-0.00290043,0.00019850
0.00007813,0.00695313,-0.00000573,0.00020945,-0.00318657,0.00020953
0.00007813,0.00710938,-0.00000635,0.00022155,-0.00349428,0.00022164
0.00007813,0.00726563,-0.00000709,0.00023501,-0.00382405,0.00023512
0.00007813,0.00742188,-0.00000807,0.00025020,-0.00418356,0.00025033
0.00007813,0.00757812,-0.00000928,0.00026758,-0.00457618,0.00026774
0.00007813,0.00773437,-0.00001087,0.00028776,-0.00501371,0.00028796
0.00007813,0.00789063,-0.00001289,0.00031155,-0.00550522,0.00031181
0.00007813,0.00804688,-0.00001556,0.00034002,-0.00607085,0.00034037
0.00007813,0.00820313,-0.00001904,0.00037465,-0.00673179,0.00037513
0.00007813,0.00835938,-0.00002375,0.00041746,-0.00752660,0.00041814
0.00007813,0.00851563,-0.00003013,0.00047137,-0.00850493,0.00047233
0.00007813,0.00867188,-0.00003907,0.00054059,-0.00975146,0.00054200
0.00007813,0.00882813,-0.00005185,0.00063154,-0.01139341,0.00063366
0.00007813,0.00898438,-0.00007076,0.00075417,-0.01365357,0.00075748
0.00007813,0.00914062,-0.00009935,0.00092430,-0.01691927,0.00092963
0.00007813,0.00929687,-0.00014278,0.00116646,-0.02193367,0.00117517
0.00007813,0.00945312,-0.00020355,0.00151281,-0.03018077,0.00152644
0.00007813,0.00960937,-0.00025586,0.00197224,-0.04478456,0.00198877
0.00007813,0.00976562,-0.00011193,0.00234005,-0.07220537,0.00234273
0.00007813,0.00992188,0.00122602,0.00122601,-0.12653972,0.00173384
0.00023437,0.00007813,0.00000037,-0.00000012,0.00047518,0.00000039
0.00023437,0.00023437,0.00000030,-0.00000026,0.00047826,0.00000040
0.00023437,0.00039063,-0.00000018,-0.00000005,0.00048501,0.00000019
0.00023437,0.00054688,-0.00000086,0.00000080,0.00049629,0.00000117
0.00023437,0.00070312,-0.00000161,0.00000242,0.00050869,0.00000290
0.00023437,0.00085938,-0.00000236,0.00000487,0.00052322,0.00000541
0.00023437,0.00101563,-0.00000310,0.00000815,0.00053669,0.00000872
0.00023437,0.00117187,-0.00000380,0.00001224,0.00055040,0.00001282
0.00023437,0.00132813,-0.00000447,0.00001711,0.00056144,0.00001768
0.00023437,0.00148438,-0.00000510,0.00002272,0.00057135,0.00002328
0.00023437,0.00164062,-0.00000570,0.00002904,0.00057740,0.00002959
0.00023437,0.00179688,-0.00000628,0.00003603,0.00058130,0.00003658
0.00023437,0.00195312,-0.00000682,0.00004368,0.00058040,0.00004421
0.00023437,0.00210938,-0.00000735,0.00005194,0.00057653,0.00005246
0.00023437,0.00226562,-0.00000786,0.00006080,0.00056707,0.00006131
0.00023437,0.00242187,-0.00000836,0.00007025,0.00055392,0.00007075
0.00023437,0.00257813,-0.00000884,0.00008026,0.00053449,0.00008075
0.00023437,0.00273438,-0.00000931,0.00009082,0.00051071,0.00009130
0.00023437,0.00289062,-0.00000977,0.00010193,0.00047998,0.00010239
0.00023437,0.00304688,-0.00001022,0.00011356,0.00044429,0.00011402
0.00023437,0.00320313,-0.00001067,0.00012571,0.00040101,0.00012616
0.00023437,0.00335937,-0.00001111,0.00013838,0.00035216,0.00013882
0.00023437,0.00351563,-0.00001154,0.00015154,0.00029511,0.00015198
0.00023437,0.00367188,-0.00001196,0.00016521,0.00023192,0.00016564
0.00023437,0.00382812,-0.00001238,0.00017936,0.00015991,0.00017979
0.00023437,0.00398438,-0.00001279,0.00019399,0.00008123,0.00019442
0.00023437,0.00414063,-0.00001320,0.00020910,-0.00000685,0.00020952
0.00023437,0.00429688,-0.00001360,0.00022468,-0.00010212,0.00022509
0.00023437,0.00445313,-0.00001399,0.00024071,-0.00020734,0.00024112
0.00023437,0.00460937,-0.00001439,0.00025720,-0.00032022,0.00025761
0.00023437,0.00476562,-0.00001478,0.00027415,-0.00044357,0.00027455
0.00023437,0.00492188,-0.00001517,0.00029156,-0.00057504,0.00029195
0.00023437,0.00507813,-0.00001557,0.00030943,-0.00071749,0.00030982
0.00023437,0.00523438,-0.00001599,0.00032777,-0.00086850,0.00032816
0.00023437,0.00539063,-0.00001643,0.00034661,-0.00103101,0.00034700
0.00023437,0.00554687,-0.00001691,0.00036599,-0.00120260,0.00036638
0.00023437,0.00570312,-0.00001743,0.00038594,-0.00138632,0.00038634
0.00023437,0.00585938,-0.00001803,0.00040655,-0.00157981,0.00040695
0.00023437,0.00601563,-0.00001872,0.00042789,-0.00178632,0.00042829
0.00023437,0.00617188,-0.00001952,0.00045008,-0.00200362,0.00045050
0.00023437,0.00632813,-0.00002049,0.00047328,-0.00223535,0.00047373
0.00023437,0.00648438,-0.00002166,0.00049770,-0.00247961,0.00049817
0.00023437,0.00664062,-0.00002308,0.00052357,-0.00274064,0.00052408
0.00023437,0.00679687,-0.00002484,0.00055124,-0.00301719,0.00055180
0.00023437,0.00695313,-0.00002701,0.00058111,-0.00331454,0.00058173
0.00023437,0.00710938,-0.00002972,0.00061369,-0.00363268,0.00061441
0.00023437,0.00726563,-0.00003311,0.00064964,-0.00397869,0.00065049
0.00023437,0.00742188,-0.00003737,0.00068980,-0.00435487,0.00069081
0.00023437,0.00757812,-0.00004274,0.00073520,-0.00477161,0.00073644
0.00023437,0.00773437,-0.00004955,0.00078718,-0.00523560,0.00078873
0.00023437,0.00789063,-0.00005823,0.00084743,-0.00576355,0.00084943
0.00023437,0.00804688,-0.00006937,0.00091814,-0.00637098,0.00092076
0.00023437,0.00820313,-0.00008379,0.00100210,-0.00708752,0.00100559
0.00023437,0.00835938,-0.00010261,0.00110291,-0.00794762,0.00110768
0.00023437,0.00851563,-0.00012746,0.00122523,-0.00900964,0.00123184
0.00023437,0.00867188,-0.00016065,0.00137495,-0.01035230,0.00138430
0.00023437,0.00882813,-0.00020549,0.00155925,-0.01210431,0.00157273
0.00023437,0.00898438,-0.00026643,0.00178596,-0.01445786,0.00180573
