# time=4.57764
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000015,-0.00000013,0.00079503,0.00000020
0.00007813,0.00023437,0.00000018,-0.00000045,0.00079702,0.00000048
0.00007813,0.00039063,0.00000008,-0.00000069,0.00080738,0.00000070
0.00007813,0.00054688,-0.00000011,-0.00000065,0.00082257,0.00000066
0.00007813,0.00070312,-0.00000029,-0.00000024,0.00084276,0.00000038
0.00007813,0.00085938,-0.00000051,0.00000058,0.00086415,0.00000078
0.00007813,0.00101563,-0.00000070,0.00000181,0.00088733,0.00000195
0.00007813,0.00117187,-0.00000091,0.00000344,0.00090901,0.00000356
0.00007813,0.00132813,-0.00000109,0.00000545,0.00093023,0.00000556
0.00007813,0.00148438,-0.00000128,0.00000783,0.00094804,0.00000794
0.00007813,0.00164062,-0.00000144,0.00001056,0.00096374,0.00001066
0.00007813,0.00179688,-0.00000161,0.00001363,0.00097456,0.00001372
0.00007813,0.00195312,-0.00000176,0.00001702,0.00098196,0.00001711
0.00007813,0.00210938,-0.00000192,0.00002071,0.00098324,0.00002080
0.00007813,0.00226562,-0.00000206,0.00002471,0.00097998,0.00002480
0.00007813,0.00242187,-0.00000221,0.00002899,0.00096950,0.00002908
0.00007813,0.00257813,-0.00000233,0.00003355,0.00095344,0.00003363
0.00007813,0.00273438,-0.00000247,0.00003836,0.00092917,0.00003844
0.00007813,0.00289062,-0.00000258,0.00004343,0.00089838,0.00004350
0.00007813,0.00304688,-0.00000271,0.00004873,0.00085845,0.00004881
0.00007813,0.00320313,-0.00000280,0.00005426,0.00081116,0.00005433
0.00007813,0.00335937,-0.00000292,0.00005999,0.00075388,0.00006006
0.00007813,0.00351563,-0.00000300,0.00006592,0.00068850,0.00006599
0.00007813,0.00367188,-0.00000309,0.00007202,0.00061242,0.00007209
0.00007813,0.00382812,-0.00000316,0.00007829,0.00052763,0.00007835
0.00007813,0.00398438,-0.00000324,0.00008470,0.00043156,0.00008476
