# time=2.44141
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000012,-0.00000010,0.00039827,0.00000016
0.00007813,0.00023437,0.00000012,-0.00000032,0.00040022,0.00000034
0.00007813,0.00039063,0.00000002,-0.00000045,0.00040902,0.00000045
0.00007813,0.00054688,-0.00000014,-0.00000032,0.00042097,0.00000035
0.00007813,0.00070312,-0.00000029,0.00000013,0.00043657,0.00000032
0.00007813,0.00085938,-0.00000046,0.00000090,0.00045220,0.00000101
0.00007813,0.00101563,-0.00000061,0.00000199,0.00046886,0.00000208
0.00007813,0.00117187,-0.00000076,0.00000337,0.00048345,0.00000346
0.00007813,0.00132813,-0.00000089,0.00000504,0.00049740,0.00000512
0.00007813,0.00148438,-0.00000103,0.00000697,0.00050792,0.00000704
0.00007813,0.00164062,-0.00000113,0.00000914,0.00051669,0.00000921
0.00007813,0.00179688,-0.00000126,0.00001154,0.00052107,0.00001161
0.00007813,0.00195312,-0.00000135,0.00001417,0.00052288,0.00001423
0.00007813,0.00210938,-0.00000147,0.00001700,0.00051956,0.00001707
0.00007813,0.00226562,-0.00000155,0.00002004,0.00051300,0.00002010
0.00007813,0.00242187,-0.00000166,0.00002327,0.00050068,0.00002333
0.00007813,0.00257813,-0.00000174,0.00002669,0.00048454,0.00002674
0.00007813,0.00273438,-0.00000185,0.00003029,0.00046204,0.00003035
0.00007813,0.00289062,-0.00000192,0.00003408,0.00043518,0.00003413
0.00007813,0.00304688,-0.00000203,0.00003805,0.00040140,0.00003810
0.00007813,0.00320313,-0.00000210,0.00004219,0.00036271,0.00004225
0.00007813,0.00335937,-0.00000220,0.00004652,0.00031654,0.00004657
0.00007813,0.00351563,-0.00000228,0.00005102,0.00026493,0.00005107
0.00007813,0.00367188,-0.00000238,0.00005570,0.00020526,0.00005575
0.00007813,0.00382812,-0.00000246,0.00006056,0.00013963,0.00006061
0.00007813,0.00398438,-0.00000256,0.00006559,0.00006536,0.00006564
0.00007813,0.00414063,-0.00000264,0.00007081,-0.00001539,0.00007086
0.00007813,0.00429688,-0.00000274,0.00007620,-0.00010535,0.00007625
0.00007813,0.00445313,-0.00000282,0.00008178,-0.00020232,0.00008183
0.00007813,0.00460937,-0.00000292,0.00008754,-0.00030906,0.00008759
0.00007813,0.00476562,-0.00000300,0.00009348,-0.00042333,0.00009353
0.00007813,0.00492188,-0.00000311,0.00009962,-0.00054793,0.00009967
0.00007813,0.00507813,-0.00000320,0.00010595,-0.00068057,0.00010600
0.00007813,0.00523438,-0.00000332,0.00011250,-0.00082414,0.00011254
0.00007813,0.00539063,-0.00000342,0.00011926,-0.00097630,0.00011930
0.00007813,0.00554687,-0.00000356,0.00012625,-0.00114004,0.00012630
0.00007813,0.00570312,-0.00000367,0.00013350,-0.00131303,0.00013355
0.00007813,0.00585938,-0.00000384,0.00014104,-0.00149839,0.00014109
0.00007813,0.00601563,-0.00000400,0.00014889,-0.00169389,0.00014895
0.00007813,0.00617188,-0.00000421,0.00015712,-0.00190288,0.00015718
0.00007813,0.00632813,-0.00000443,0.00016578,-0.00212332,0.00016584
0.00007813,0.00648438,-0.00000472,0.00017495,-0.00235896,0.00017501
0.00007813,0.00664062,-0.00000504,0.00018473,-0.00260817,0.00018480
0.00007813,0.00679687,-0.00000546,0.00019525,-0.00287539,0.00019533
0.00007813,0.00695313,-0.00000595,0.00020669,-0.00315976,0.00020677
0.00007813,0.00710938,-0.00000658,0.00021924,-0.00346690,0.00021934
0.00007813,0.00726563,-0.00000734,0.00023318,-0.00379743,0.00023329
0.00007813,0.00742188,-0.00000832,0.00024886,-0.00415911,0.00024900
0.00007813,0.00757812,-0.00000953,0.00026674,-0.00455536,0.00026691
0.00007813,0.00773437,-0.00001112,0.00028742,-0.00499803,0.00028763
0.00007813,0.00789063,-0.00001312,0.00031168,-0.00549614,0.00031195
0.00007813,0.00804688,-0.00001577,0.00034058,-0.00606976,0.00034095
0.00007813,0.00820313,-0.00001921,0.00037559,-0.00673991,0.00037608
0.00007813,0.00835938,-0.00002388,0.00041870,-0.00754489,0.00041938
0.00007813,0.00851563,-0.00003021,0.00047281,-0.00853398,0.00047378
0.00007813,0.00867188,-0.00003909,0.00054213,-0.00979136,0.00054354
0.00007813,0.00882813,-0.00005181,0.00063305,-0.01144364,0.00063517
0.00007813,0.00898438,-0.00007066,0.00075554,-0.01371290,0.00075884
0.00007813,0.00914062,-0.00009921,0.00092543,-0.01698570,0.00093073
0.00007813,0.00929687,-0.00014261,0.00116727,-0.02200456,0.00117595
0.00007813,0.00945312,-0.00020338,0.00151329,-0.03025311,0.00152690
0.00007813,0.00960937,-0.00025574,0.00197244,-0.04485561,0.00198895
0.00007813,0.00976562,-0.00011188,0.00234008,-0.07227363,0.00234276
0.00007813,0.00992188,0.00122601,0.00122600,-0.12660595,0.00173383
0.00023437,0.00007813,0.00000035,-0.00000011,0.00039482,0.00000037
0.00023437,0.00023437,0.00000027,-0.00000023,0.00039791,0.00000035
0.00023437,0.00039063,-0.00000021,0.00000001,0.00040443,0.00000021
0.00023437,0.00054688,-0.00000088,0.00000088,0.00041527,0.00000124
0.00023437,0.00070312,-0.00000159,0.00000249,0.00042703,0.00000296
0.00023437,0.00085938,-0.00000232,0.00000490,0.00044078,0.00000542
0.00023437,0.00101563,-0.00000302,0.00000810,0.00045333,0.00000864
0.00023437,0.00117187,-0.00000369,0.00001207,0.00046606,0.00001262
0.00023437,0.00132813,-0.00000431,0.00001677,0.00047606,0.00001732
0.00023437,0.00148438,-0.00000491,0.00002217,0.00048495,0.00002271
0.00023437,0.00164062,-0.00000547,0.00002823,0.00049001,0.00002876
0.00023437,0.00179688,-0.00000600,0.00003493,0.00049300,0.00003544
0.00023437,0.00195312,-0.00000650,0.00004222,0.00049131,0.00004272
0.00023437,0.00210938,-0.00000699,0.00005008,0.00048680,0.00005057
0.00023437,0.00226562,-0.00000746,0.00005851,0.00047690,0.00005898
0.00023437,0.00242187,-0.00000792,0.00006747,0.00046354,0.00006793
0.00023437,0.00257813,-0.00000836,0.00007695,0.00044415,0.00007740
0.00023437,0.00273438,-0.00000880,0.00008694,0.00042072,0.00008739
0.00023437,0.00289062,-0.00000923,0.00009744,0.00039067,0.00009788
0.00023437,0.00304688,-0.00000966,0.00010844,0.00035602,0.00010887
0.00023437,0.00320313,-0.00001008,0.00011994,0.00031415,0.00012036
0.00023437,0.00335937,-0.00001051,0.00013192,0.00026715,0.00013234
0.00023437,0.00351563,-0.00001093,0.00014440,0.00021236,0.00014481
0.00023437,0.00367188,-0.00001135,0.00015736,0.00015189,0.00015777
0.00023437,0.00382812,-0.00001177,0.00017081,0.00008304,0.00017122
0.00023437,0.00398438,-0.00001220,0.00018476,0.00000799,0.00018516
0.00023437,0.00414063,-0.00001262,0.00019919,-0.00007603,0.00019959
0.00023437,0.00429688,-0.00001305,0.00021413,-0.00016679,0.00021452
0.00023437,0.00445313,-0.00001349,0.00022956,-0.00026709,0.00022995
0.00023437,0.00460937,-0.00001393,0.00024550,-0.00037466,0.00024589
0.00023437,0.00476562,-0.00001437,0.00026195,-0.00049236,0.00026234
0.00023437,0.00492188,-0.00001484,0.00027893,-0.00061788,0.00027933
0.00023437,0.00507813,-0.00001531,0.00029646,-0.00075414,0.00029685
0.00023437,0.00523438,-0.00001582,0.00031455,-0.00089880,0.00031495
0.00023437,0.00539063,-0.00001635,0.00033324,-0.00105487,0.00033365
0.00023437,0.00554687,-0.00001693,0.00035258,-0.00122002,0.00035299
0.00023437,0.00570312,-0.00001756,0.00037262,-0.00139742,0.00037303
0.00023437,0.00585938,-0.00001827,0.00039342,-0.00158476,0.00039384
0.00023437,0.00601563,-0.00001907,0.00041509,-0.00178545,0.00041553
0.00023437,0.00617188,-0.00001999,0.00043775,-0.00199737,0.00043820
0.00023437,0.00632813,-0.00002107,0.00046155,-0.00222427,0.00046203
0.00023437,0.00648438,-0.00002236,0.00048668,-0.00246437,0.00048720
0.00023437,0.00664062,-0.00002389,0.00051341,-0.00272204,0.00051397
0.00023437,0.00679687,-0.00002574,0.00054204,-0.00299615,0.00054266
0.00023437,0.00695313,-0.00002800,0.00057298,-0.00329210,0.00057366
0.00023437,0.00710938,-0.00003079,0.00060672,-0.00360998,0.00060750
0.00023437,0.00726563,-0.00003423,0.00064390,-0.00395697,0.00064481
0.00023437,0.00742188,-0.00003851,0.00068533,-0.00433543,0.00068641
0.00023437,0.00757812,-0.00004388,0.00073201,-0.00475579,0.00073333
0.00023437,0.00773437,-0.00005066,0.00078526,-0.00522477,0.00078689
0.00023437,0.00789063,-0.00005927,0.00084672,-0.00575903,0.00084880
0.00023437,0.00804688,-0.00007031,0.00091855,-0.00637401,0.00092123
0.00023437,0.00820313,-0.00008457,0.00100348,-0.00709917,0.00100704
0.00023437,0.00835938,-0.00010321,0.00110509,-0.00796871,0.00110990
0.00023437,0.00851563,-0.00012784,0.00122798,-0.00904066,0.00123461
0.00023437,0.00867188,-0.00016079,0.00137802,-0.01039327,0.00138737
0.00023437,0.00882813,-0.00020537,0.00156239,-0.01215471,0.00157583
0.00023437,0.00898438,-0.00026607,0.00178891,-0.01451653,0.00180858
0.00023437,0.00914062,-0.00034779,0.00206304,-0.01779177,0.00209215
0.00023437,0.00929687,-0.00045104,0.00237823,-0.02246434,0.00242062
0.00023437,0.00945312,-0.00055123,0.00268852,-0.02925320,0.00274444
0.00023437,0.00960937,-0.00051911,0.00284062,-0.03892391,0.00288766
0.00023437,0.00976562,0.00017283,0.00245166,-0.05099335,0.00245774
0.00023437,0.00992188,0.00347956,0.00102752,-0.05868411,0.00362811
0.00039063,0.00007813,0.00000047,0.00000001,0.00038693,0.00000047
0.00039063,0.00023437,0.00000003,0.00000026,0.00039019,0.00000026
0.00039063,0.00039063,-0.00000114,0.00000120,0.00039779,0.00000166
0.00039063,0.00054688,-0.00000268,0.00000308,0.00040653,0.00000408
0.00039063,0.00070312,-0.00000436,0.00000605,0.00041778,0.00000745
0.00039063,0.00085938,-0.00000606,0.00001016,0.00042841,0.00001183
0.00039063,0.00101563,-0.00000773,0.00001542,0.00043988,0.00001725
0.00039063,0.00117187,-0.00000933,0.00002182,0.00044922,0.00002373
0.00039063,0.00132813,-0.00001085,0.00002931,0.00045808,0.00003126
0.00039063,0.00148438,-0.00001230,0.00003785,0.00046361,0.00003980
0.00039063,0.00164062,-0.00001367,0.00004740,0.00046762,0.00004933
0.00039063,0.00179688,-0.00001498,0.00005791,0.00046737,0.00005982
0.00039063,0.00195312,-0.00001623,0.00006934,0.00046478,0.00007122
0.00039063,0.00210938,-0.00001744,0.00008166,0.00045715,0.00008350
0.00039063,0.00226562,-0.00001860,0.00009484,0.00044646,0.00009664
0.00039063,0.00242187,-0.00001974,0.00010885,0.00043007,0.00011062
0.00039063,0.00257813,-0.00002084,0.00012367,0.00041001,0.00012541
0.00039063,0.00273438,-0.00002193,0.00013929,0.00038360,0.00014100
