# time=4.88281
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000016,-0.00000013,0.00082623,0.00000020
0.00007813,0.00023437,0.00000019,-0.00000046,0.00082824,0.00000049
0.00007813,0.00039063,0.00000009,-0.00000072,0.00083876,0.00000072
0.00007813,0.00054688,-0.00000010,-0.00000069,0.00085428,0.00000069
0.00007813,0.00070312,-0.00000030,-0.00000027,0.00087494,0.00000040
0.00007813,0.00085938,-0.00000052,0.00000055,0.00089693,0.00000076
0.00007813,0.00101563,-0.00000071,0.00000180,0.00092076,0.00000194
0.00007813,0.00117187,-0.00000093,0.00000346,0.00094315,0.00000358
0.00007813,0.00132813,-0.00000111,0.00000550,0.00096509,0.00000561
0.00007813,0.00148438,-0.00000130,0.00000793,0.00098361,0.00000804
0.00007813,0.00164062,-0.00000147,0.00001072,0.00099998,0.00001082
0.00007813,0.00179688,-0.00000165,0.00001385,0.00101141,0.00001395
0.00007813,0.00195312,-0.00000180,0.00001732,0.00101931,0.00001741
0.00007813,0.00210938,-0.00000197,0.00002110,0.00102101,0.00002119
0.00007813,0.00226562,-0.00000211,0.00002519,0.00101800,0.00002528
0.00007813,0.00242187,-0.00000226,0.00002958,0.00100764,0.00002966
0.00007813,0.00257813,-0.00000239,0.00003424,0.00099152,0.00003432
0.00007813,0.00273438,-0.00000253,0.00003917,0.00096699,0.00003925
0.00007813,0.00289062,-0.00000264,0.00004436,0.00093574,0.00004444
0.00007813,0.00304688,-0.00000277,0.00004978,0.00089513,0.00004986
0.00007813,0.00320313,-0.00000287,0.00005543,0.00084692,0.00005551
0.00007813,0.00335937,-0.00000298,0.00006130,0.00078849,0.00006137
0.00007813,0.00351563,-0.00000306,0.00006735,0.00072172,0.00006742
0.00007813,0.00367188,-0.00000315,0.00007358,0.00064402,0.00007365
0.00007813,0.00382812,-0.00000322,0.00007997,0.00055736,0.00008003
0.00007813,0.00398438,-0.00000329,0.00008649,0.00045920,0.00008655
0.00007813,0.00414063,-0.00000333,0.00009313,0.00035167,0.00009319
0.00007813,0.00429688,-0.00000339,0.00009988,0.00023227,0.00009993
0.00007813,0.00445313,-0.00000341,0.00010669,0.00010328,0.00010675
0.00007813,0.00460937,-0.00000345,0.00011357,-0.00003776,0.00011362
0.00007813,0.00476562,-0.00000345,0.00012049,-0.00018839,0.00012054
0.00007813,0.00492188,-0.00000347,0.00012744,-0.00035101,0.00012748
0.00007813,0.00507813,-0.00000346,0.00013439,-0.00052303,0.00013444
0.00007813,0.00523438,-0.00000348,0.00014135,-0.00070682,0.00014139
0.00007813,0.00539063,-0.00000346,0.00014831,-0.00089964,0.00014835
