# time=1.83105
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000011,-0.00000009,0.00020579,0.00000014
0.00007813,0.00023437,0.00000010,-0.00000028,0.00020777,0.00000030
0.00007813,0.00039063,0.00000000,-0.00000037,0.00021620,0.00000037
0.00007813,0.00054688,-0.00000016,-0.00000020,0.00022722,0.00000025
0.00007813,0.00070312,-0.00000030,0.00000027,0.00024146,0.00000040
0.00007813,0.00085938,-0.00000046,0.00000104,0.00025527,0.00000114
0.00007813,0.00101563,-0.00000058,0.00000210,0.00026984,0.00000218
0.00007813,0.00117187,-0.00000073,0.00000343,0.00028208,0.00000351
0.00007813,0.00132813,-0.00000083,0.00000500,0.00029357,0.00000507
0.00007813,0.00148438,-0.00000095,0.00000681,0.00030154,0.00000687
0.00007813,0.00164062,-0.00000104,0.00000882,0.00030782,0.00000888
0.00007813,0.00179688,-0.00000115,0.00001102,0.00030979,0.00001108
0.00007813,0.00195312,-0.00000122,0.00001341,0.00030941,0.00001346
0.00007813,0.00210938,-0.00000132,0.00001597,0.00030415,0.00001602
0.00007813,0.00226562,-0.00000139,0.00001869,0.00029605,0.00001874
0.00007813,0.00242187,-0.00000148,0.00002157,0.00028258,0.00002163
0.00007813,0.00257813,-0.00000154,0.00002461,0.00026585,0.00002466
0.00007813,0.00273438,-0.00000163,0.00002780,0.00024333,0.00002785
0.00007813,0.00289062,-0.00000169,0.00003115,0.00021714,0.00003119
0.00007813,0.00304688,-0.00000178,0.00003464,0.00018474,0.00003469
0.00007813,0.00320313,-0.00000185,0.00003829,0.00014827,0.00003834
0.00007813,0.00335937,-0.00000194,0.00004210,0.00010514,0.00004215
0.00007813,0.00351563,-0.00000201,0.00004608,0.00005752,0.00004612
0.00007813,0.00367188,-0.00000211,0.00005021,0.00000276,0.00005026
0.00007813,0.00382812,-0.00000218,0.00005453,-0.00005695,0.00005457
0.00007813,0.00398438,-0.00000229,0.00005902,-0.00012432,0.00005906
0.00007813,0.00414063,-0.00000237,0.00006370,-0.00019716,0.00006374
0.00007813,0.00429688,-0.00000249,0.00006858,-0.00027824,0.00006862
0.00007813,0.00445313,-0.00000258,0.00007366,-0.00036535,0.00007370
0.00007813,0.00460937,-0.00000270,0.00007896,-0.00046134,0.00007901
0.00007813,0.00476562,-0.00000281,0.00008449,-0.00056400,0.00008454
0.00007813,0.00492188,-0.00000295,0.00009026,-0.00067628,0.00009031
0.00007813,0.00507813,-0.00000306,0.00009629,-0.00079596,0.00009634
0.00007813,0.00523438,-0.00000322,0.00010260,-0.00092610,0.00010265
0.00007813,0.00539063,-0.00000336,0.00010920,-0.00106450,0.00010926
0.00007813,0.00554687,-0.00000355,0.00011613,-0.00121437,0.00011619
0.00007813,0.00570312,-0.00000372,0.00012342,-0.00137358,0.00012347
0.00007813,0.00585938,-0.00000394,0.00013109,-0.00154553,0.00013115
0.00007813,0.00601563,-0.00000415,0.00013919,-0.00172820,0.00013925
0.00007813,0.00617188,-0.00000442,0.00014778,-0.00192528,0.00014784
0.00007813,0.00632813,-0.00000470,0.00015692,-0.00213500,0.00015699
0.00007813,0.00648438,-0.00000505,0.00016668,-0.00236148,0.00016676
0.00007813,0.00664062,-0.00000543,0.00017718,-0.00260337,0.00017726
0.00007813,0.00679687,-0.00000590,0.00018853,-0.00286548,0.00018862
0.00007813,0.00695313,-0.00000643,0.00020089,-0.00314723,0.00020099
0.00007813,0.00710938,-0.00000711,0.00021446,-0.00345461,0.00021458
0.00007813,0.00726563,-0.00000790,0.00022949,-0.00378846,0.00022962
0.00007813,0.00742188,-0.00000890,0.00024631,-0.00415682,0.00024647
0.00007813,0.00757812,-0.00001011,0.00026535,-0.00456323,0.00026554
0.00007813,0.00773437,-0.00001168,0.00028717,-0.00501963,0.00028741
0.00007813,0.00789063,-0.00001365,0.00031252,-0.00553497,0.00031282
0.00007813,0.00804688,-0.00001624,0.00034243,-0.00612911,0.00034282
0.00007813,0.00820313,-0.00001960,0.00037830,-0.00682264,0.00037881
0.00007813,0.00835938,-0.00002416,0.00042209,-0.00765321,0.00042278
0.00007813,0.00851563,-0.00003036,0.00047664,-0.00866915,0.00047761
0.00007813,0.00867188,-0.00003910,0.00054613,-0.00995339,0.00054753
0.00007813,0.00882813,-0.00005167,0.00063693,-0.01163101,0.00063902
0.00007813,0.00898438,-0.00007039,0.00075901,-0.01392232,0.00076227
0.00007813,0.00914062,-0.00009882,0.00092825,-0.01721201,0.00093349
0.00007813,0.00929687,-0.00014218,0.00116927,-0.02224105,0.00117788
0.00007813,0.00945312,-0.00020298,0.00151445,-0.03049226,0.00152799
0.00007813,0.00960937,-0.00025545,0.00197290,-0.04509073,0.00198937
0.00007813,0.00976562,-0.00011177,0.00234014,-0.07250131,0.00234280
0.00007813,0.00992188,0.00122597,0.00122597,-0.12682845,0.00173379
0.00023437,0.00007813,0.00000031,-0.00000009,0.00020224,0.00000032
0.00023437,0.00023437,0.00000019,-0.00000015,0.00020542,0.00000024
0.00023437,0.00039063,-0.00000029,0.00000016,0.00021154,0.00000033
0.00023437,0.00054688,-0.00000092,0.00000107,0.00022159,0.00000141
0.00023437,0.00070312,-0.00000160,0.00000269,0.00023212,0.00000313
0.00023437,0.00085938,-0.00000227,0.00000505,0.00024434,0.00000553
0.00023437,0.00101563,-0.00000290,0.00000813,0.00025506,0.00000863
0.00023437,0.00117187,-0.00000349,0.00001189,0.00026580,0.00001240
0.00023437,0.00132813,-0.00000404,0.00001631,0.00027366,0.00001680
0.00023437,0.00148438,-0.00000455,0.00002133,0.00028041,0.00002180
0.00023437,0.00164062,-0.00000502,0.00002691,0.00028333,0.00002737
0.00023437,0.00179688,-0.00000547,0.00003302,0.00028434,0.00003347
0.00023437,0.00195312,-0.00000588,0.00003964,0.00028083,0.00004007
0.00023437,0.00210938,-0.00000629,0.00004673,0.00027481,0.00004715
0.00023437,0.00226562,-0.00000667,0.00005428,0.00026371,0.00005469
0.00023437,0.00242187,-0.00000705,0.00006227,0.00024961,0.00006267
0.00023437,0.00257813,-0.00000741,0.00007069,0.00022995,0.00007108
0.00023437,0.00273438,-0.00000778,0.00007954,0.00020686,0.00007992
0.00023437,0.00289062,-0.00000814,0.00008882,0.00017775,0.00008919
0.00023437,0.00304688,-0.00000851,0.00009852,0.00014478,0.00009889
