# time=3.66211
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000014,-0.00000012,0.00066836,0.00000018
0.00007813,0.00023437,0.00000016,-0.00000040,0.00067033,0.00000043
0.00007813,0.00039063,0.00000006,-0.00000060,0.00068009,0.00000060
0.00007813,0.00054688,-0.00000012,-0.00000053,0.00069404,0.00000054
0.00007813,0.00070312,-0.00000029,-0.00000010,0.00071249,0.00000031
0.00007813,0.00085938,-0.00000049,0.00000070,0.00073171,0.00000085
0.00007813,0.00101563,-0.00000067,0.00000187,0.00075244,0.00000198
0.00007813,0.00117187,-0.00000085,0.00000340,0.00077147,0.00000351
0.00007813,0.00132813,-0.00000101,0.00000528,0.00078998,0.00000538
0.00007813,0.00148438,-0.00000118,0.00000749,0.00080510,0.00000758
0.00007813,0.00164062,-0.00000132,0.00001001,0.00081826,0.00001009
0.00007813,0.00179688,-0.00000148,0.00001282,0.00082675,0.00001291
0.00007813,0.00195312,-0.00000161,0.00001592,0.00083215,0.00001601
0.00007813,0.00210938,-0.00000175,0.00001930,0.00083182,0.00001938
0.00007813,0.00226562,-0.00000187,0.00002294,0.00082745,0.00002302
0.00007813,0.00242187,-0.00000201,0.00002683,0.00081642,0.00002691
0.00007813,0.00257813,-0.00000212,0.00003097,0.00080048,0.00003105
0.00007813,0.00273438,-0.00000224,0.00003535,0.00077702,0.00003542
0.00007813,0.00289062,-0.00000234,0.00003995,0.00074785,0.00004002
0.00007813,0.00304688,-0.00000246,0.00004478,0.00071034,0.00004485
0.00007813,0.00320313,-0.00000256,0.00004982,0.00066636,0.00004988
0.00007813,0.00335937,-0.00000267,0.00005506,0.00061329,0.00005512
0.00007813,0.00351563,-0.00000275,0.00006049,0.00055307,0.00006055
0.00007813,0.00367188,-0.00000285,0.00006610,0.00048307,0.00006616
0.00007813,0.00382812,-0.00000292,0.00007189,0.00040531,0.00007195
0.00007813,0.00398438,-0.00000301,0.00007783,0.00031716,0.00007789
0.00007813,0.00414063,-0.00000307,0.00008392,0.00022076,0.00008398
0.00007813,0.00429688,-0.00000315,0.00009015,0.00011349,0.00009021
0.00007813,0.00445313,-0.00000319,0.00009651,-0.00000241,0.00009656
0.00007813,0.00460937,-0.00000326,0.00010297,-0.00012953,0.00010303
0.00007813,0.00476562,-0.00000329,0.00010954,-0.00026551,0.00010959
0.00007813,0.00492188,-0.00000335,0.00011620,-0.00041294,0.00011625
0.00007813,0.00507813,-0.00000338,0.00012295,-0.00056933,0.00012300
0.00007813,0.00523438,-0.00000343,0.00012978,-0.00073727,0.00012983
0.00007813,0.00539063,-0.00000346,0.00013670,-0.00091417,0.00013674
0.00007813,0.00554687,-0.00000352,0.00014370,-0.00110265,0.00014374
0.00007813,0.00570312,-0.00000356,0.00015080,-0.00130008,0.00015085
0.00007813,0.00585938,-0.00000365,0.00015803,-0.00150917,0.00015807
0.00007813,0.00601563,-0.00000372,0.00016541,-0.00172731,0.00016545
0.00007813,0.00617188,-0.00000385,0.00017299,-0.00195742,0.00017304
0.00007813,0.00632813,-0.00000398,0.00018084,-0.00219705,0.00018088
0.00007813,0.00648438,-0.00000419,0.00018903,-0.00244952,0.00018907
0.00007813,0.00664062,-0.00000443,0.00019767,-0.00271276,0.00019772
0.00007813,0.00679687,-0.00000478,0.00020690,-0.00299076,0.00020696
0.00007813,0.00695313,-0.00000520,0.00021691,-0.00328227,0.00021697
0.00007813,0.00710938,-0.00000578,0.00022792,-0.00359251,0.00022799
0.00007813,0.00726563,-0.00000650,0.00024022,-0.00392174,0.00024031
0.00007813,0.00742188,-0.00000746,0.00025421,-0.00427744,0.00025432
0.00007813,0.00757812,-0.00000867,0.00027037,-0.00466281,0.00027051
0.00007813,0.00773437,-0.00001028,0.00028934,-0.00508958,0.00028952
0.00007813,0.00789063,-0.00001232,0.00031196,-0.00556682,0.00031220
0.00007813,0.00804688,-0.00001504,0.00033935,-0.00611483,0.00033968
0.00007813,0.00820313,-0.00001860,0.00037301,-0.00675509,0.00037348
0.00007813,0.00835938,-0.00002340,0.00041504,-0.00752672,0.00041570
0.00007813,0.00851563,-0.00002990,0.00046836,-0.00848013,0.00046932
0.00007813,0.00867188,-0.00003898,0.00053726,-0.00970110,0.00053867
0.00007813,0.00882813,-0.00005190,0.00062816,-0.01131824,0.00063030
0.00007813,0.00898438,-0.00007095,0.00075103,-0.01355602,0.00075437
0.00007813,0.00914062,-0.00009966,0.00092166,-0.01680358,0.00092703
0.00007813,0.00929687,-0.00014316,0.00116450,-0.02180580,0.00117327
0.00007813,0.00945312,-0.00020392,0.00151161,-0.03004777,0.00152530
0.00007813,0.00960937,-0.00025615,0.00197170,-0.04465321,0.00198827
0.00007813,0.00976562,-0.00011207,0.00233994,-0.07207982,0.00234263
0.00007813,0.00992188,0.00122603,0.00122602,-0.12641885,0.00173386
0.00023437,0.00007813,0.00000042,-0.00000015,0.00066494,0.00000045
0.00023437,0.00023437,0.00000040,-0.00000036,0.00066802,0.00000054
0.00023437,0.00039063,-0.00000010,-0.00000023,0.00067545,0.00000025
0.00023437,0.00054688,-0.00000083,0.00000059,0.00068801,0.00000101
0.00023437,0.00070312,-0.00000165,0.00000225,0.00070225,0.00000279
0.00023437,0.00085938,-0.00000250,0.00000483,0.00071904,0.00000544
0.00023437,0.00101563,-0.00000333,0.00000835,0.00073511,0.00000899
0.00023437,0.00117187,-0.00000415,0.00001280,0.00075160,0.00001346
0.00023437,0.00132813,-0.00000492,0.00001815,0.00076554,0.00001881
0.00023437,0.00148438,-0.00000567,0.00002437,0.00077829,0.00002502
0.00023437,0.00164062,-0.00000639,0.00003143,0.00078708,0.00003207
0.00023437,0.00179688,-0.00000707,0.00003929,0.00079345,0.00003992
0.00023437,0.00195312,-0.00000773,0.00004793,0.00079469,0.00004855
0.00023437,0.00210938,-0.00000837,0.00005731,0.00079248,0.00005792
0.00023437,0.00226562,-0.00000898,0.00006742,0.00078415,0.00006801
0.00023437,0.00242187,-0.00000957,0.00007821,0.00077145,0.00007880
0.00023437,0.00257813,-0.00001014,0.00008968,0.00075173,0.00009025
0.00023437,0.00273438,-0.00001069,0.00010180,0.00072680,0.00010236
0.00023437,0.00289062,-0.00001122,0.00011454,0.00069402,0.00011509
0.00023437,0.00304688,-0.00001173,0.00012788,0.00065525,0.00012842
0.00023437,0.00320313,-0.00001222,0.00014180,0.00060784,0.00014233
0.00023437,0.00335937,-0.00001269,0.00015628,0.00055374,0.00015679
0.00023437,0.00351563,-0.00001313,0.00017127,0.00049027,0.00017178
0.00023437,0.00367188,-0.00001355,0.00018677,0.00041947,0.00018726
0.00023437,0.00382812,-0.00001394,0.00020274,0.00033867,0.00020322
0.00023437,0.00398438,-0.00001431,0.00021914,0.00024999,0.00021961
0.00023437,0.00414063,-0.00001465,0.00023596,0.00015077,0.00023641
0.00023437,0.00429688,-0.00001496,0.00025315,0.00004323,0.00025359
0.00023437,0.00445313,-0.00001524,0.00027068,-0.00007528,0.00027111
0.00023437,0.00460937,-0.00001550,0.00028853,-0.00020242,0.00028895
0.00023437,0.00476562,-0.00001573,0.00030667,-0.00034084,0.00030707
0.00023437,0.00492188,-0.00001595,0.00032508,-0.00048809,0.00032547
0.00023437,0.00507813,-0.00001615,0.00034373,-0.00064683,0.00034411
0.00023437,0.00523438,-0.00001636,0.00036262,-0.00081450,0.00036299
0.00023437,0.00539063,-0.00001656,0.00038176,-0.00099381,0.00038212
0.00023437,0.00554687,-0.00001679,0.00040115,-0.00118214,0.00040150
0.00023437,0.00570312,-0.00001705,0.00042083,-0.00138229,0.00042117
0.00023437,0.00585938,-0.00001738,0.00044085,-0.00159165,0.00044120
0.00023437,0.00601563,-0.00001779,0.00046131,-0.00181322,0.00046165
0.00023437,0.00617188,-0.00001832,0.00048230,-0.00204451,0.00048265
0.00023437,0.00632813,-0.00001901,0.00050399,-0.00228886,0.00050435
0.00023437,0.00648438,-0.00001992,0.00052659,-0.00254410,0.00052697
0.00023437,0.00664062,-0.00002109,0.00055037,-0.00281421,0.00055077
0.00023437,0.00679687,-0.00002262,0.00057566,-0.00309767,0.00057610
0.00023437,0.00695313,-0.00002459,0.00060291,-0.00339949,0.00060341
0.00023437,0.00710938,-0.00002713,0.00063267,-0.00371944,0.00063325
0.00023437,0.00726563,-0.00003040,0.00066563,-0.00406440,0.00066633
0.00023437,0.00742188,-0.00003458,0.00070269,-0.00443647,0.00070354
0.00023437,0.00757812,-0.00003994,0.00074496,-0.00484594,0.00074603
0.00023437,0.00773437,-0.00004681,0.00079383,-0.00529945,0.00079520
0.00023437,0.00789063,-0.00005563,0.00085108,-0.00581374,0.00085290
0.00023437,0.00804688,-0.00006701,0.00091900,-0.00640450,0.00092144
0.00023437,0.00820313,-0.00008174,0.00100047,-0.00710169,0.00100380
0.00023437,0.00835938,-0.00010099,0.00109920,-0.00794024,0.00110383
0.00023437,0.00851563,-0.00012634,0.00121992,-0.00897927,0.00122645
0.00023437,0.00867188,-0.00016010,0.00136862,-0.01029845,0.00137795
0.00023437,0.00882813,-0.00020554,0.00155252,-0.01202780,0.00156607
0.00023437,0.00898438,-0.00026707,0.00177945,-0.01436099,0.00179938
0.00023437,0.00914062,-0.00034946,0.00205478,-0.01761340,0.00208428
0.00023437,0.00929687,-0.00045313,0.00237174,-0.02227111,0.00241464
0.00023437,0.00945312,-0.00055336,0.00268407,-0.02905443,0.00274052
0.00023437,0.00960937,-0.00052082,0.00283811,-0.03872838,0.00288551
0.00023437,0.00976562,0.00017187,0.00245065,-0.05080590,0.00245667
0.00023437,0.00992188,0.00347940,0.00102731,-0.05850359,0.00362789
0.00039063,0.00007813,0.00000062,-0.00000003,0.00065608,0.00000062
0.00039063,0.00023437,0.00000027,0.00000014,0.00065942,0.00000030
0.00039063,0.00039063,-0.00000097,0.00000102,0.00066787,0.00000141
0.00039063,0.00054688,-0.00000268,0.00000295,0.00067823,0.00000398
0.00039063,0.00070312,-0.00000461,0.00000611,0.00069167,0.00000765
0.00039063,0.00085938,-0.00000661,0.00001060,0.00070502,0.00001249
0.00039063,0.00101563,-0.00000860,0.00001646,0.00071954,0.00001857
0.00039063,0.00117187,-0.00001055,0.00002369,0.00073220,0.00002593
0.00039063,0.00132813,-0.00001244,0.00003227,0.00074442,0.00003458
0.00039063,0.00148438,-0.00001426,0.00004215,0.00075331,0.00004450
0.00039063,0.00164062,-0.00001600,0.00005330,0.00076045,0.00005566
0.00039063,0.00179688,-0.00001769,0.00006568,0.00076305,0.00006802
0.00039063,0.00195312,-0.00001931,0.00007925,0.00076280,0.00008157
0.00039063,0.00210938,-0.00002087,0.00009395,0.00075696,0.00009624
0.00039063,0.00226562,-0.00002238,0.00010977,0.00074731,0.00011202
0.00039063,0.00242187,-0.00002384,0.00012665,0.00073112,0.00012887
0.00039063,0.00257813,-0.00002525,0.00014456,0.00071025,0.00014675
0.00039063,0.00273438,-0.00002660,0.00016347,0.00068198,0.00016562
0.00039063,0.00289062,-0.00002791,0.00018335,0.00064822,0.00018546
0.00039063,0.00304688,-0.00002917,0.00020415,0.00060624,0.00020622
0.00039063,0.00320313,-0.00003038,0.00022584,0.00055804,0.00022788
0.00039063,0.00335937,-0.00003153,0.00024838,0.00050087,0.00025038
0.00039063,0.00351563,-0.00003263,0.00027174,0.00043681,0.00027369
0.00039063,0.00367188,-0.00003366,0.00029586,0.00036310,0.00029777
0.00039063,0.00382812,-0.00003464,0.00032071,0.00028191,0.00032257
0.00039063,0.00398438,-0.00003554,0.00034624,0.00019047,0.00034806
0.00039063,0.00414063,-0.00003638,0.00037239,0.00009107,0.00037417
0.00039063,0.00429688,-0.00003715,0.00039914,-0.00001906,0.00040086
0.00039063,0.00445313,-0.00003785,0.00042642,-0.00013754,0.00042809
0.00039063,0.00460937,-0.00003850,0.00045419,-0.00026714,0.00045582
0.00039063,0.00476562,-0.00003909,0.00048241,-0.00040536,0.00048399
0.00039063,0.00492188,-0.00003963,0.00051104,-0.00055497,0.00051258
0.00039063,0.00507813,-0.00004014,0.00054007,-0.00071338,0.00054156
0.00039063,0.00523438,-0.00004064,0.00056946,-0.00088341,0.00057091
0.00039063,0.00539063,-0.00004116,0.00059923,-0.00106239,0.00060064
0.00039063,0.00554687,-0.00004173,0.00062938,-0.00125321,0.00063076
0.00039063,0.00570312,-0.00004238,0.00065997,-0.00145319,0.00066133
0.00039063,0.00585938,-0.00004317,0.00069107,-0.00166540,0.00069242
0.00039063,0.00601563,-0.00004416,0.00072279,-0.00188722,0.00072414
0.00039063,0.00617188,-0.00004543,0.00075529,-0.00212202,0.00075665
0.00039063,0.00632813,-0.00004707,0.00078878,-0.00236742,0.00079018
0.00039063,0.00648438,-0.00004920,0.00082354,-0.00262730,0.00082501
0.00039063,0.00664062,-0.00005196,0.00085994,-0.00289977,0.00086151
0.00039063,0.00679687,-0.00005552,0.00089843,-0.00318957,0.00090015
0.00039063,0.00695313,-0.00006009,0.00093960,-0.00349578,0.00094152
0.00039063,0.00710938,-0.00006594,0.00098416,-0.00382455,0.00098636
0.00039063,0.00726563,-0.00007339,0.00103300,-0.00417674,0.00103560
0.00039063,0.00742188,-0.00008286,0.00108721,-0.00456101,0.00109037
0.00039063,0.00757812,-0.00009486,0.00114815,-0.00498142,0.00115206
0.00039063,0.00773437,-0.00011004,0.00121744,-0.00545116,0.00122240
0.00039063,0.00789063,-0.00012926,0.00129705,-0.00598031,0.00130347
0.00039063,0.00804688,-0.00015357,0.00138933,-0.00659055,0.00139779
0.00039063,0.00820313,-0.00018434,0.00149703,-0.00730364,0.00150833
0.00039063,0.00835938,-0.00022332,0.00162325,-0.00815794,0.00163854
0.00039063,0.00851563,-0.00027269,0.00177123,-0.00919863,0.00179210
0.00039063,0.00867188,-0.00033499,0.00194380,-0.01049761,0.00197246
0.00039063,0.00882813,-0.00041270,0.00214196,-0.01214679,0.00218136
0.00039063,0.00898438,-0.00050667,0.00236182,-0.01428090,0.00241555
0.00039063,0.00914062,-0.00061121,0.00258786,-0.01706508,0.00265906
0.00039063,0.00929687,-0.00069994,0.00277947,-0.02068377,0.00286624
0.00039063,0.00945312,-0.00068612,0.00284672,-0.02520239,0.00292824
0.00039063,0.00960937,-0.00031596,0.00262059,-0.03018702,0.00263957
0.00039063,0.00976562,0.00109684,0.00187825,-0.03374183,0.00217506
0.00039063,0.00992188,0.00518140,0.00067466,-0.03052523,0.00522514
0.00054688,0.00007813,0.00000054,0.00000012,0.00064118,0.00000055
0.00054688,0.00023437,-0.00000054,0.00000086,0.00064790,0.00000101
0.00054688,0.00039063,-0.00000288,0.00000270,0.00065622,0.00000395
0.00054688,0.00054688,-0.00000592,0.00000593,0.00066753,0.00000838
0.00054688,0.00070312,-0.00000931,0.00001072,0.00067898,0.00001420
0.00054688,0.00085938,-0.00001284,0.00001718,0.00069197,0.00002145
0.00054688,0.00101563,-0.00001638,0.00002535,0.00070360,0.00003018
0.00054688,0.00117187,-0.00001987,0.00003523,0.00071532,0.00004044
0.00054688,0.00132813,-0.00002326,0.00004680,0.00072431,0.00005226
0.00054688,0.00148438,-0.00002654,0.00006002,0.00073210,0.00006563
0.00054688,0.00164062,-0.00002971,0.00007487,0.00073594,0.00008054
0.00054688,0.00179688,-0.00003276,0.00009128,0.00073746,0.00009698
0.00054688,0.00195312,-0.00003571,0.00010920,0.00073395,0.00011490
0.00054688,0.00210938,-0.00003856,0.00012861,0.00072712,0.00013426
0.00054688,0.00226562,-0.00004132,0.00014943,0.00071429,0.00015504
0.00054688,0.00242187,-0.00004398,0.00017164,0.00069724,0.00017719
0.00054688,0.00257813,-0.00004655,0.00019519,0.00067330,0.00020066
0.00054688,0.00273438,-0.00004904,0.00022002,0.00064431,0.00022542
0.00054688,0.00289062,-0.00005143,0.00024610,0.00060758,0.00025142
0.00054688,0.00304688,-0.00005373,0.00027339,0.00056503,0.00027862
0.00054688,0.00320313,-0.00005594,0.00030182,0.00051396,0.00030696
0.00054688,0.00335937,-0.00005805,0.00033136,0.00045637,0.00033641
0.00054688,0.00351563,-0.00006005,0.00036195,0.00038955,0.00036690
0.00054688,0.00367188,-0.00006194,0.00039354,0.00031558,0.00039839
0.00054688,0.00382812,-0.00006372,0.00042607,0.00023174,0.00043081
0.00054688,0.00398438,-0.00006538,0.00045948,0.00014021,0.00046411
0.00054688,0.00414063,-0.00006692,0.00049371,0.00003827,0.00049823
0.00054688,0.00429688,-0.00006833,0.00052870,-0.00007180,0.00053310
0.00054688,0.00445313,-0.00006963,0.00056439,-0.00019273,0.00056866
0.00054688,0.00460937,-0.00007081,0.00060071,-0.00032211,0.00060487
0.00054688,0.00476562,-0.00007189,0.00063761,-0.00046269,0.00064165
0.00054688,0.00492188,-0.00007289,0.00067505,-0.00061196,0.00067897
0.00054688,0.00507813,-0.00007383,0.00071298,-0.00077270,0.00071680
0.00054688,0.00523438,-0.00007474,0.00075138,-0.00094231,0.00075509
0.00054688,0.00539063,-0.00007568,0.00079025,-0.00112363,0.00079386
0.00054688,0.00554687,-0.00007669,0.00082958,-0.00131403,0.00083312
0.00054688,0.00570312,-0.00007784,0.00086943,-0.00151647,0.00087291
0.00054688,0.00585938,-0.00007923,0.00090988,-0.00172836,0.00091332
0.00054688,0.00601563,-0.00008096,0.00095104,-0.00195288,0.00095448
0.00054688,0.00617188,-0.00008316,0.00099309,-0.00218760,0.00099656
0.00054688,0.00632813,-0.00008598,0.00103624,-0.00243610,0.00103980
