# time=3.96729
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000015,-0.00000012,0.00071674,0.00000019
0.00007813,0.00023437,0.00000016,-0.00000042,0.00071871,0.00000045
0.00007813,0.00039063,0.00000007,-0.00000063,0.00072868,0.00000064
0.00007813,0.00054688,-0.00000011,-0.00000057,0.00074309,0.00000059
0.00007813,0.00070312,-0.00000029,-0.00000015,0.00076217,0.00000033
0.00007813,0.00085938,-0.00000050,0.00000065,0.00078218,0.00000082
0.00007813,0.00101563,-0.00000068,0.00000185,0.00080380,0.00000197
0.00007813,0.00117187,-0.00000087,0.00000342,0.00082380,0.00000353
0.00007813,0.00132813,-0.00000104,0.00000534,0.00084330,0.00000544
0.00007813,0.00148438,-0.00000122,0.00000761,0.00085941,0.00000771
0.00007813,0.00164062,-0.00000136,0.00001021,0.00087350,0.00001030
0.00007813,0.00179688,-0.00000153,0.00001311,0.00088285,0.00001320
0.00007813,0.00195312,-0.00000166,0.00001632,0.00088899,0.00001640
0.00007813,0.00210938,-0.00000182,0.00001981,0.00088928,0.00001990
0.00007813,0.00226562,-0.00000194,0.00002358,0.00088533,0.00002366
0.00007813,0.00242187,-0.00000208,0.00002762,0.00087452,0.00002770
0.00007813,0.00257813,-0.00000219,0.00003191,0.00085856,0.00003199
0.00007813,0.00273438,-0.00000233,0.00003645,0.00083483,0.00003652
0.00007813,0.00289062,-0.00000243,0.00004122,0.00080509,0.00004130
0.00007813,0.00304688,-0.00000255,0.00004623,0.00076671,0.00004630
0.00007813,0.00320313,-0.00000265,0.00005145,0.00072154,0.00005151
0.00007813,0.00335937,-0.00000276,0.00005687,0.00066695,0.00005694
0.00007813,0.00351563,-0.00000284,0.00006249,0.00060485,0.00006255
0.00007813,0.00367188,-0.00000294,0.00006829,0.00053262,0.00006835
0.00007813,0.00382812,-0.00000301,0.00007425,0.00045227,0.00007431
0.00007813,0.00398438,-0.00000310,0.00008037,0.00036121,0.00008043
0.00007813,0.00414063,-0.00000315,0.00008663,0.00026154,0.00008669
0.00007813,0.00429688,-0.00000322,0.00009302,0.00015070,0.00009308
0.00007813,0.00445313,-0.00000326,0.00009952,0.00003093,0.00009957
0.00007813,0.00460937,-0.00000332,0.00010611,-0.00010033,0.00010617
0.00007813,0.00476562,-0.00000334,0.00011279,-0.00024068,0.00011284
0.00007813,0.00492188,-0.00000339,0.00011955,-0.00039265,0.00011959
0.00007813,0.00507813,-0.00000341,0.00012636,-0.00055373,0.00012641
0.00007813,0.00523438,-0.00000345,0.00013324,-0.00072645,0.00013328
0.00007813,0.00539063,-0.00000346,0.00014017,-0.00090816,0.00014021
0.00007813,0.00554687,-0.00000351,0.00014716,-0.00110143,0.00014720
0.00007813,0.00570312,-0.00000354,0.00015423,-0.00130355,0.00015427
0.00007813,0.00585938,-0.00000360,0.00016139,-0.00151719,0.00016143
0.00007813,0.00601563,-0.00000366,0.00016868,-0.00173964,0.00016872
0.00007813,0.00617188,-0.00000378,0.00017613,-0.00197379,0.00017617
0.00007813,0.00632813,-0.00000389,0.00018382,-0.00221708,0.00018386
0.00007813,0.00648438,-0.00000409,0.00019183,-0.00247278,0.00019187
0.00007813,0.00664062,-0.00000432,0.00020026,-0.00273875,0.00020030
0.00007813,0.00679687,-0.00000466,0.00020925,-0.00301892,0.00020931
0.00007813,0.00695313,-0.00000507,0.00021900,-0.00331195,0.00021906
0.00007813,0.00710938,-0.00000564,0.00022973,-0.00362301,0.00022980
0.00007813,0.00726563,-0.00000635,0.00024174,-0.00395231,0.00024182
0.00007813,0.00742188,-0.00000731,0.00025541,-0.00430726,0.00025552
0.00007813,0.00757812,-0.00000851,0.00027126,-0.00469103,0.00027139
0.00007813,0.00773437,-0.00001012,0.00028991,-0.00511532,0.00029009
0.00007813,0.00789063,-0.00001217,0.00031222,-0.00558918,0.00031246
0.00007813,0.00804688,-0.00001491,0.00033932,-0.00613295,0.00033965
0.00007813,0.00820313,-0.00001848,0.00037273,-0.00676817,0.00037319
0.00007813,0.00835938,-0.00002330,0.00041454,-0.00753406,0.00041519
0.00007813,0.00851563,-0.00002983,0.00046769,-0.00848122,0.00046864
0.00007813,0.00867188,-0.00003894,0.00053648,-0.00969567,0.00053789
0.00007813,0.00882813,-0.00005190,0.00062734,-0.01130637,0.00062948
0.00007813,0.00898438,-0.00007098,0.00075024,-0.01353822,0.00075359
0.00007813,0.00914062,-0.00009973,0.00092098,-0.01678082,0.00092637
0.00007813,0.00929687,-0.00014325,0.00116399,-0.02177955,0.00117277
0.00007813,0.00945312,-0.00020402,0.00151128,-0.03001980,0.00152499
