# time=0.401939
x,y,u,v,p,magnitude
0.00005859,0.00004688,0.00858726,0.00112290,6.07821476,0.00866036
0.00005859,0.00014063,0.01014631,0.00213202,5.97956555,0.01036789
0.00005859,0.00023437,0.01034790,0.00173263,5.91956713,0.01049195
0.00005859,0.00032813,0.01028036,0.00122601,5.88551794,0.01035321
0.00005859,0.00042187,0.01018527,0.00084948,5.86492477,0.01022063
0.00005859,0.00051563,0.01012352,0.00059843,5.85266733,0.01014119
0.00005859,0.00060937,0.01007833,0.00043293,5.84401203,0.01008762
0.00005859,0.00070312,0.01005648,0.00032106,5.83852060,0.01006161
0.00005859,0.00079688,0.01003669,0.00024250,5.83394905,0.01003962
0.00005859,0.00089063,0.01003016,0.00018499,5.83109741,0.01003187
0.00005859,0.00098438,0.01001962,0.00014115,5.82835755,0.01002061
0.00005859,0.00107813,0.01001885,0.00010636,5.82685533,0.01001941
0.00005859,0.00117187,0.01001203,0.00007764,5.82516836,0.01001233
0.00005859,0.00126563,0.01001381,0.00005295,5.82452746,0.01001395
0.00005859,0.00135938,0.01000882,0.00003082,5.82358025,0.01000887
0.00005859,0.00145312,0.01001203,0.00001012,5.82360202,0.01001203
0.00005859,0.00154688,0.01000825,-0.00001012,5.82327637,0.01000826
0.00005859,0.00164062,0.01001260,-0.00003082,5.82390609,0.01001264
0.00005859,0.00173438,0.01001003,-0.00005295,5.82420142,0.01001018
0.00005859,0.00182813,0.01001580,-0.00007764,5.82549462,0.01001610
0.00005859,0.00192187,0.01001508,-0.00010636,5.82652882,0.01001564
0.00005859,0.00201563,0.01002338,-0.00014115,5.82868437,0.01002438
0.00005859,0.00210938,0.01002640,-0.00018499,5.83077020,0.01002810
0.00005859,0.00220313,0.01004046,-0.00024250,5.83427674,0.01004338
0.00005859,0.00229687,0.01005272,-0.00032106,5.83819221,0.01005785
0.00005859,0.00239062,0.01008208,-0.00043293,5.84434132,0.01009138
0.00005859,0.00248438,0.01011977,-0.00059843,5.85233657,0.01013745
0.00005859,0.00257813,0.01018902,-0.00084949,5.86525760,0.01022437
0.00005859,0.00267188,0.01027666,-0.00122605,5.88518255,0.01034954
0.00005859,0.00276562,0.01035168,-0.00173275,5.91991080,0.01049570
0.00005859,0.00285937,0.01014266,-0.00213224,5.97923114,0.01036436
0.00005859,0.00295313,0.00859055,-0.00112683,6.07849851,0.00866414
0.00017578,0.00004688,0.00603890,0.00091032,5.93523399,0.00610713
