# time=2.67959
x,y,u,v,p,magnitude
0.00005859,0.00004688,0.00859122,0.00112679,0.51615718,0.00866479
0.00005859,0.00014063,0.01014751,0.00213568,0.41702672,0.01036982
0.00005859,0.00023437,0.01035267,0.00173540,0.35727436,0.01049712
0.00005859,0.00032813,0.01028139,0.00122803,0.32284475,0.01035447
0.00005859,0.00042187,0.01018978,0.00085096,0.30254105,0.01022525
0.00005859,0.00051563,0.01012433,0.00059954,0.28993912,0.01014206
0.00005859,0.00060937,0.01008271,0.00043378,0.28158645,0.01009204
0.00005859,0.00070312,0.01005720,0.00032172,0.27576415,0.01006234
0.00005859,0.00079688,0.01004102,0.00024302,0.27150047,0.01004396
0.00005859,0.00089063,0.01003083,0.00018540,0.26832436,0.01003255
0.00005859,0.00098438,0.01002392,0.00014147,0.26589516,0.01002492
0.00005859,0.00107813,0.01001950,0.00010660,0.26407221,0.01002006
0.00005859,0.00117187,0.01001633,0.00007782,0.26269772,0.01001663
0.00005859,0.00126563,0.01001445,0.00005307,0.26173867,0.01001459
0.00005859,0.00135938,0.01001311,0.00003089,0.26110536,0.01001316
0.00005859,0.00145312,0.01001266,0.00001015,0.26081106,0.01001267
0.00005859,0.00154688,0.01001254,-0.00001015,0.26080062,0.01001255
0.00005859,0.00164062,0.01001323,-0.00003089,0.26111581,0.01001328
0.00005859,0.00173438,0.01001433,-0.00005307,0.26172821,0.01001447
0.00005859,0.00182813,0.01001645,-0.00007782,0.26270818,0.01001675
0.00005859,0.00192187,0.01001938,-0.00010660,0.26406174,0.01001994
0.00005859,0.00201563,0.01002404,-0.00014147,0.26590564,0.01002504
0.00005859,0.00210938,0.01003071,-0.00018540,0.26831387,0.01003243
0.00005859,0.00220313,0.01004114,-0.00024302,0.27151098,0.01004408
0.00005859,0.00229687,0.01005708,-0.00032172,0.27575362,0.01006222
0.00005859,0.00239062,0.01008284,-0.00043378,0.28159701,0.01009216
0.00005859,0.00248438,0.01012421,-0.00059954,0.28992851,0.01014194
0.00005859,0.00257813,0.01018990,-0.00085096,0.30255172,0.01022537
0.00005859,0.00267188,0.01028127,-0.00122803,0.32283399,0.01035435
0.00005859,0.00276562,0.01035279,-0.00173541,0.35728538,0.01049724
0.00005859,0.00285937,0.01014739,-0.00213569,0.41701599,0.01036970
0.00005859,0.00295313,0.00859132,-0.00112692,0.51616630,0.00866492
0.00017578,0.00004688,0.00604373,0.00091103,0.37267744,0.00611200
0.00017578,0.00014063,0.00981337,0.00220714,0.35877298,0.01005851
0.00017578,0.00023437,0.01074464,0.00256098,0.33590155,0.01104563
0.00017578,0.00032813,0.01080166,0.00233839,0.31595088,0.01105187
0.00017578,0.00042187,0.01064754,0.00193285,0.30095183,0.01082156
0.00017578,0.00051563,0.01048256,0.00153130,0.29007101,0.01059382
0.00017578,0.00060937,0.01035294,0.00119412,0.28220714,0.01042158
0.00017578,0.00070312,0.01026005,0.00092754,0.27640578,0.01030189
0.00017578,0.00079688,0.01019531,0.00072036,0.27208525,0.01022073
0.00017578,0.00089063,0.01015051,0.00055862,0.26879100,0.01016587
0.00017578,0.00098438,0.01011938,0.00043026,0.26629827,0.01012853
0.00017578,0.00107813,0.01009782,0.00032593,0.26438775,0.01010307
0.00017578,0.00117187,0.01008295,0.00023859,0.26298568,0.01008577
0.00017578,0.00126563,0.01007309,0.00016295,0.26197167,0.01007440
0.00017578,0.00135938,0.01006701,0.00009492,0.26133833,0.01006746
0.00017578,0.00145312,0.01006416,0.00003118,0.26101273,0.01006421
0.00017578,0.00154688,0.01006413,-0.00003118,0.26102339,0.01006418
0.00017578,0.00164062,0.01006703,-0.00009492,0.26132765,0.01006748
0.00017578,0.00173438,0.01007306,-0.00016295,0.26198237,0.01007438
0.00017578,0.00182813,0.01008297,-0.00023859,0.26297496,0.01008579
0.00017578,0.00192187,0.01009779,-0.00032593,0.26439850,0.01010305
0.00017578,0.00201563,0.01011941,-0.00043026,0.26628750,0.01012855
