# time=0.937857
x,y,u,v,p,magnitude
0.00005859,0.00004688,0.00859122,0.00112679,0.55384594,0.00866479
0.00005859,0.00014063,0.01014751,0.00213568,0.45471547,0.01036982
0.00005859,0.00023437,0.01035267,0.00173540,0.39496311,0.01049712
0.00005859,0.00032813,0.01028139,0.00122803,0.36053350,0.01035447
0.00005859,0.00042187,0.01018978,0.00085096,0.34022980,0.01022525
0.00005859,0.00051563,0.01012433,0.00059954,0.32762787,0.01014206
0.00005859,0.00060937,0.01008271,0.00043378,0.31927520,0.01009204
0.00005859,0.00070312,0.01005720,0.00032172,0.31345290,0.01006234
0.00005859,0.00079688,0.01004102,0.00024302,0.30918921,0.01004396
0.00005859,0.00089063,0.01003083,0.00018540,0.30601311,0.01003255
0.00005859,0.00098438,0.01002392,0.00014147,0.30358390,0.01002492
0.00005859,0.00107813,0.01001950,0.00010660,0.30176095,0.01002006
0.00005859,0.00117187,0.01001632,0.00007782,0.30038646,0.01001663
0.00005859,0.00126563,0.01001445,0.00005307,0.29942741,0.01001459
0.00005859,0.00135938,0.01001311,0.00003089,0.29879410,0.01001316
0.00005859,0.00145312,0.01001266,0.00001015,0.29849981,0.01001267
0.00005859,0.00154688,0.01001254,-0.00001015,0.29848936,0.01001255
0.00005859,0.00164062,0.01001323,-0.00003089,0.29880456,0.01001328
0.00005859,0.00173438,0.01001433,-0.00005307,0.29941696,0.01001447
0.00005859,0.00182813,0.01001645,-0.00007782,0.30039693,0.01001675
0.00005859,0.00192187,0.01001938,-0.00010660,0.30175048,0.01001994
0.00005859,0.00201563,0.01002404,-0.00014147,0.30359439,0.01002504
0.00005859,0.00210938,0.01003071,-0.00018540,0.30600261,0.01003243
0.00005859,0.00220313,0.01004114,-0.00024301,0.30919973,0.01004408
0.00005859,0.00229687,0.01005708,-0.00032172,0.31344236,0.01006222
0.00005859,0.00239062,0.01008284,-0.00043378,0.31928576,0.01009216
0.00005859,0.00248438,0.01012421,-0.00059954,0.32761726,0.01014194
0.00005859,0.00257813,0.01018990,-0.00085096,0.34024047,0.01022537
0.00005859,0.00267188,0.01028127,-0.00122803,0.36052274,0.01035435
0.00005859,0.00276562,0.01035279,-0.00173541,0.39497414,0.01049724
0.00005859,0.00285937,0.01014739,-0.00213569,0.45470474,0.01036970
0.00005859,0.00295313,0.00859132,-0.00112692,0.55385505,0.00866492
0.00017578,0.00004688,0.00604373,0.00091103,0.41036619,0.00611200
0.00017578,0.00014063,0.00981337,0.00220714,0.39646173,0.01005851
0.00017578,0.00023437,0.01074464,0.00256098,0.37359030,0.01104563
0.00017578,0.00032813,0.01080166,0.00233838,0.35363963,0.01105187
0.00017578,0.00042187,0.01064754,0.00193285,0.33864058,0.01082156
0.00017578,0.00051563,0.01048256,0.00153130,0.32775976,0.01059382
0.00017578,0.00060937,0.01035294,0.00119412,0.31989588,0.01042158
0.00017578,0.00070312,0.01026005,0.00092754,0.31409452,0.01030189
0.00017578,0.00079688,0.01019531,0.00072036,0.30977400,0.01022073
0.00017578,0.00089063,0.01015051,0.00055862,0.30647974,0.01016587
0.00017578,0.00098438,0.01011938,0.00043026,0.30398702,0.01012853
0.00017578,0.00107813,0.01009782,0.00032593,0.30207649,0.01010307
0.00017578,0.00117187,0.01008295,0.00023859,0.30067443,0.01008577
0.00017578,0.00126563,0.01007309,0.00016295,0.29966041,0.01007440
0.00017578,0.00135938,0.01006701,0.00009492,0.29902707,0.01006746
0.00017578,0.00145312,0.01006416,0.00003118,0.29870146,0.01006421
0.00017578,0.00154688,0.01006413,-0.00003118,0.29871213,0.01006418
0.00017578,0.00164062,0.01006703,-0.00009492,0.29901639,0.01006748
0.00017578,0.00173438,0.01007306,-0.00016295,0.29967111,0.01007438
0.00017578,0.00182813,0.01008297,-0.00023859,0.30066370,0.01008579
0.00017578,0.00192187,0.01009779,-0.00032593,0.30208724,0.01010305
0.00017578,0.00201563,0.01011941,-0.00043026,0.30397624,0.01012855
0.00017578,0.00210938,0.01015049,-0.00055862,0.30649055,0.01016585
0.00017578,0.00220313,0.01019534,-0.00072036,0.30976314,0.01022075
0.00017578,0.00229687,0.01026003,-0.00092754,0.31410544,0.01030187
0.00017578,0.00239062,0.01035296,-0.00119412,0.31988488,0.01042160
0.00017578,0.00248438,0.01048254,-0.00153130,0.32777087,0.01059379
0.00017578,0.00257813,0.01064757,-0.00193285,0.33862932,0.01082158
0.00017578,0.00267188,0.01080164,-0.00233838,0.35365102,0.01105185
0.00017578,0.00276562,0.01074466,-0.00256097,0.37357866,0.01104565
0.00017578,0.00285937,0.00981334,-0.00220712,0.39647263,0.01005849
0.00017578,0.00295313,0.00604374,-0.00091089,0.41035715,0.00611200
0.00029297,0.00004688,0.00422808,0.00054132,0.34873516,0.00426259
0.00029297,0.00014063,0.00869492,0.00159226,0.35263217,0.00883951
0.00029297,0.00023437,0.01052208,0.00231113,0.34723907,0.01077291
0.00029297,0.00032813,0.01106428,0.00250158,0.33882835,0.01134356
0.00029297,0.00042187,0.01108236,0.00234908,0.33041173,0.01132858
0.00029297,0.00051563,0.01092958,0.00204507,0.32314388,0.01111927
0.00029297,0.00060937,0.01074947,0.00170730,0.31717978,0.01088421
0.00029297,0.00070312,0.01059117,0.00139167,0.31243958,0.01068221
