# time=0.669898
x,y,u,v,p,magnitude
0.00005859,0.00004688,0.00859075,0.00112633,1.28565708,0.00866427
0.00005859,0.00014063,0.01014737,0.00213525,1.18658357,0.01036959
0.00005859,0.00023437,0.01035211,0.00173508,1.12680203,0.01049650
0.00005859,0.00032813,0.01028127,0.00122779,1.09241741,0.01035432
0.00005859,0.00042187,0.01018925,0.00085079,1.07207938,0.01022471
0.00005859,0.00051563,0.01012423,0.00059941,1.05951819,0.01014196
0.00005859,0.00060937,0.01008220,0.00043368,1.05112963,0.01009152
0.00005859,0.00070312,0.01005711,0.00032164,1.04534646,0.01006226
0.00005859,0.00079688,0.01004051,0.00024296,1.04104628,0.01004345
0.00005859,0.00089063,0.01003075,0.00018535,1.03790856,0.01003247
0.00005859,0.00098438,0.01002341,0.00014143,1.03544253,0.01002441
0.00005859,0.00107813,0.01001942,0.00010658,1.03365753,0.01001999
0.00005859,0.00117187,0.01001582,0.00007780,1.03224602,0.01001612
0.00005859,0.00126563,0.01001437,0.00005306,1.03132463,0.01001451
0.00005859,0.00135938,0.01001261,0.00003089,1.03065414,0.01001265
0.00005859,0.00145312,0.01001259,0.00001014,1.03039726,0.01001259
0.00005859,0.00154688,0.01001203,-0.00001014,1.03034950,0.01001204
0.00005859,0.00164062,0.01001316,-0.00003089,1.03070193,0.01001321
0.00005859,0.00173438,0.01001382,-0.00005306,1.03127680,0.01001396
0.00005859,0.00182813,0.01001637,-0.00007780,1.03229388,0.01001667
0.00005859,0.00192187,0.01001887,-0.00010658,1.03360964,0.01001943
0.00005859,0.00201563,0.01002397,-0.00014143,1.03549047,0.01002496
0.00005859,0.00210938,0.01003020,-0.00018535,1.03786056,0.01003191
0.00005859,0.00220313,0.01004106,-0.00024295,1.04109435,0.01004400
0.00005859,0.00229687,0.01005656,-0.00032164,1.04529829,0.01006170
0.00005859,0.00239062,0.01008275,-0.00043368,1.05117794,0.01009207
0.00005859,0.00248438,0.01012368,-0.00059941,1.05946967,0.01014141
0.00005859,0.00257813,0.01018980,-0.00085079,1.07212820,0.01022525
0.00005859,0.00267188,0.01028072,-0.00122780,1.09236821,0.01035378
0.00005859,0.00276562,0.01035266,-0.00173509,1.12685244,0.01049705
0.00005859,0.00285937,0.01014683,-0.00213528,1.18653451,0.01036907
0.00005859,0.00295313,0.00859123,-0.00112691,1.28569871,0.00866482
0.00017578,0.00004688,0.00604316,0.00091094,1.14223636,0.00611143
0.00017578,0.00014063,0.00981262,0.00220651,1.12830697,0.01005764
0.00017578,0.00023437,0.01074376,0.00256036,1.10548106,0.01104463
0.00017578,0.00032813,0.01080087,0.00233784,1.08549346,0.01105099
0.00017578,0.00042187,0.01064670,0.00193240,1.07053812,0.01082064
0.00017578,0.00051563,0.01048183,0.00153093,1.05961972,0.01059304
0.00017578,0.00060937,0.01035214,0.00119383,1.05179721,0.01042075
0.00017578,0.00070312,0.01025936,0.00092731,1.04595806,0.01030118
0.00017578,0.00079688,0.01019454,0.00072018,1.04167757,0.01021995
0.00017578,0.00089063,0.01014984,0.00055848,1.03834542,0.01016520
0.00017578,0.00098438,0.01011863,0.00043015,1.03589196,0.01012777
0.00017578,0.00107813,0.01009716,0.00032584,1.03394348,0.01010241
0.00017578,0.00117187,0.01008220,0.00023852,1.03258019,0.01008502
0.00017578,0.00126563,0.01007243,0.00016290,1.03152814,0.01007375
0.00017578,0.00135938,0.01006627,0.00009489,1.03093323,0.01006671
0.00017578,0.00145312,0.01006351,0.00003117,1.03056954,0.01006355
0.00017578,0.00154688,0.01006339,-0.00003117,1.03061834,0.01006344
0.00017578,0.00164062,0.01006638,-0.00009489,1.03088433,0.01006683
0.00017578,0.00173438,0.01007232,-0.00016290,1.03157712,0.01007363
0.00017578,0.00182813,0.01008231,-0.00023852,1.03253112,0.01008514
0.00017578,0.00192187,0.01009704,-0.00032584,1.03399265,0.01010230
0.00017578,0.00201563,0.01011874,-0.00043015,1.03584266,0.01012788
0.00017578,0.00210938,0.01014973,-0.00055848,1.03839489,0.01016508
0.00017578,0.00220313,0.01019466,-0.00072018,1.04162788,0.01022006
0.00017578,0.00229687,0.01025924,-0.00092731,1.04600803,0.01030107
0.00017578,0.00239062,0.01035225,-0.00119383,1.05174687,0.01042086
0.00017578,0.00248438,0.01048172,-0.00153093,1.05967056,0.01059293
0.00017578,0.00257813,0.01064681,-0.00193239,1.07048660,0.01082075
0.00017578,0.00267188,0.01080076,-0.00233783,1.08554558,0.01105088
0.00017578,0.00276562,0.01074386,-0.00256032,1.10542780,0.01104471
0.00017578,0.00285937,0.00981251,-0.00220643,1.12835683,0.01005752
0.00017578,0.00295313,0.00604322,-0.00091032,1.14219508,0.00611140
0.00029297,0.00004688,0.00422756,0.00054073,1.08058562,0.00426200
0.00029297,0.00014063,0.00869401,0.00159151,1.08452502,0.00883847
0.00029297,0.00023437,0.01052097,0.00231035,1.07909350,0.01077165
0.00029297,0.00032813,0.01106315,0.00250085,1.07072811,0.01134229
0.00029297,0.00042187,0.01108121,0.00234843,1.06227080,0.01132733
0.00029297,0.00051563,0.01092850,0.00204451,1.05504723,0.01111810
0.00029297,0.00060937,0.01074839,0.00170685,1.04904256,0.01088307
0.00029297,0.00070312,0.01059016,0.00139129,1.04434511,0.01068116
0.00029297,0.00079688,0.01046470,0.00111724,1.04053642,0.01052417
0.00029297,0.00089063,0.01036988,0.00088636,1.03763432,0.01040769
0.00029297,0.00098438,0.01029986,0.00069324,1.03527371,0.01032316
0.00029297,0.00107813,0.01024920,0.00053050,1.03354482,0.01026292
0.00029297,0.00117187,0.01021325,0.00039091,1.03215478,0.01022073
0.00029297,0.00126563,0.01018889,0.00026809,1.03124885,0.01019242
0.00029297,0.00135938,0.01017372,0.00015655,1.03058048,0.01017492
0.00029297,0.00145312,0.01016651,0.00005148,1.03032896,0.01016664
0.00029297,0.00154688,0.01016647,-0.00005148,1.03027801,0.01016660
0.00029297,0.00164062,0.01017376,-0.00015655,1.03063159,0.01017496
0.00029297,0.00173438,0.01018885,-0.00026809,1.03119760,0.01019238
0.00029297,0.00182813,0.01021329,-0.00039091,1.03220619,0.01022077
0.00029297,0.00192187,0.01024916,-0.00053050,1.03349321,0.01026288
